id,stage,label_cn,family_cn,default_tier,visual_direction,recommend_when,within_range_diversity,do_not_infer,near_neighbors,style_groups
"S60","style","文艺松弛","自然人文","core","温和含蓄、纹理可感、比例舒展，以自然层次呈现不刻意的文化气息","角色明确为成人、男性化穿搭呈现清晰，且可见特征细腻、线条舒展或用户偏好安静人文感时","轮换现代文艺、自然文艺、简约人文、轻复古、宽窄比例、纹理粗细与柔硬材质","不得推断艺术职业、智力、教育、性格、阶层、民族或生活方式","S53;S61","adult-masculine"
"S61","style","复古型格","潮流表达","extended","经典比例与现代完成度并存，以纹理、轮廓和克制装饰形成有记忆点的成熟复古感","角色明确为成人、男性化穿搭呈现清晰，且面部发型或体态具有经典秩序、用户接受复古方向时","轮换都会复古、休闲复古、运动复古、华丽复古、时间感强弱、纹理密度与结构锐度","不得指定真实年代、历史身份、民族服装、阶层、收藏偏好或完整复刻具体人物","S58;S64","adult-masculine"
"S62","style","工装硬朗","运动功能","extended","结构分区明确、材质有重量、线条坚实，以硬朗而可动的视觉语言支撑成人体态","角色明确为成人，且轮廓承载力强、动作适合更明确的功能结构时","轮换轻工装、都市工装、复古工装、精简机能、结构密度、松量、材质重量与细节尺度","不得推断劳动职业、军事身份、阶级、体力、危险任务或工具使用；不得加入武器","S15;S58;S59","adult-masculine;adult-feminine"
"S63","style","轻熟质感","精致柔和","extended","克制精致、松紧得当、材质完成度突出，呈现不老成也不幼态的成人质感","角色明确为成人、男性化穿搭呈现清晰，且外貌与体态适合柔和成熟度或用户偏好轻熟氛围时","轮换都市轻熟、松弛轻熟、简约质感、柔和正式、材质光泽、层次与细节精密度","不得推断确切年龄、财富、职业、婚恋状态、社会成熟度、性格或消费层级","S54;S64","adult-masculine"
"S64","style","精致绅雅","精致柔和","extended","优雅有分寸、结构与柔和度平衡，以精细比例和材质表达现代绅雅气质","角色明确为成人、男性化穿搭呈现清晰，且体态稳定、五官线条清楚或用户希望更优雅正式时","轮换现代绅雅、复古绅雅、轻礼仪、柔和正式、曲直比例、光泽克制度与装饰密度","不得推断绅士品德、阶层、财富、礼仪水平、国籍、职业或婚恋角色","S56;S63","adult-masculine"
"S65","style","东方雅致","自然人文","extended","留白克制、曲直相济、比例含蓄，以现代结构和材质表达东亚主流审美中的雅致感","角色明确为成人，且用户接受东方现代方向、角色线条适合克制层次时","轮换极简东方、都市东方、文人气息、轻礼仪感、结构松紧、层次长短与材质肌理","不得推断民族、国籍、宗教、历史身份、文化归属或擅自添加传统图腾与礼服符号","S20;S60;S64","adult-masculine;adult-feminine"
"S66","style","成熟魅力","成熟魅力","extended","稳健轮廓、从容张力、质感明确，突出成年男性的吸引力与存在感","角色明确为成人、男性化穿搭呈现清晰，且可见体态承载力强或用户明确希望成熟、有魅力的写真方向时","轮换精炼成熟、松弛成熟、都市魅力、复古魅力、合体程度、露肤程度、材质光泽与明暗层次","不得推断性取向、性经验、可接近性、关系状态、财富、权力、性格或真实年龄；不附加 Skill 级服装尺度限制","S63;S67","adult-masculine"
"S67","style","精致性感","成熟魅力","special","合体张力、精细材质与成人魅力并重，充分展现成年人的肩颈、胸臂、腰腹或腿部线条","仅用于明确成人角色，且用户明确选择性感、魅力或更有性张力的写真方向时","在用户所选范围内最大化合体与松量、无袖或低领程度、开合结构、短长比例、露肤程度、材质光泽与装饰强弱的差异","仅限明确成人；不得推断性取向、性可得性、同意、职业或关系状态；不附加 Skill 级服装尺度限制，生成后端的硬性政策独立处理","S66;S68","adult-masculine"
"S68","style","舞台先锋","叙事特别","special","远距离焦点鲜明、比例大胆、结构具有表演张力，同时保持人物身份与动作可读","角色明确为成人，且用户明确需要舞台、先锋或高表现力造型时","轮换现代舞台、华丽舞台、摇滚舞台、结构实验、焦点位置、非对称程度、材质反差与装饰密度","不得推断明星、艺人、性取向、职业或社会身份；不得加入危险结构、武器、真实品牌或露骨内容","S21;S58;S67","adult-masculine;adult-feminine"
"S69","style","松弛日常","日常生活","core","自然舒展、轻松耐看，以柔硬平衡和从容比例呈现成年女性的现代日常魅力","角色明确为成人、女性化穿搭呈现清晰，且可见体态适合舒展轮廓或用户希望亲和松弛时","轮换合体与松量、长短层次、材质垂坠、露肤程度、简繁细节与鞋履量感","不得推断性别身份、职业、收入、性格、生活方式、婚恋状态或真实年龄；不附加 Skill 级服装尺度限制","S70;S75","adult-feminine"
"S70","style","都市清雅","结构清爽","core","线条清爽、精致低噪、曲直有序，以现代轻盈感承托面部和体态识别","角色明确为成人、女性化穿搭呈现清晰，且五官发型已经醒目或用户偏好干净现代审美时","轮换直曲比例、合体与松量、单层与叠层、哑光与微光泽、结构软硬及细节密度","不得推断城市身份、阶层、财富、职业、冷淡性格、性别身份或消费偏好","S06;S71;S72","adult-feminine"
"S71","style","轻盈通勤","日常生活","core","整洁轻快、行动友好，在日常舒适与轻正式秩序之间保持呼吸感","角色明确为成人、女性化穿搭呈现清晰，且轮廓需要兼顾舒展、利落与适度正式时","轮换轻正式、松弛通勤、简约通勤、层次通勤、长短节奏、材质轻重与鞋履正式度","不得推断真实职业、工作状态、通勤方式、城市身份、收入、教育或家庭角色","S05;S70;S72","adult-feminine"
"S72","style","知性优雅","结构清爽","core","理性秩序与柔和线条并存，以精细比例呈现可信、从容、现代的优雅感","角色明确为成人、女性化穿搭呈现清晰，且五官线条清楚、体态稳定或用户希望更知性端正时","轮换柔和正式、利落知性、现代优雅、轻礼仪、曲直比例、结构强弱与材质完成度","不得推断智力、学历、职业、阶层、性格、权力、婚恋状态或真实年龄","S71;S73;S80","adult-feminine"
"S73","style","温柔精致","精致柔和","core","柔顺线条、细腻层次、完成度清楚，以克制装饰呈现不幼态的温柔感","角色明确为成人，且可见特征柔和、体态线条流畅或用户偏好温柔方向时","轮换简约温柔、现代柔雅、轻盈精致、松弛优雅、曲线强弱、材质垂坠与装饰密度","不得推断软弱、顺从、性格、家庭角色、阶层、性别身份或年龄价值","S07;S75;S76","adult-feminine;adult-masculine"
"S74","style","运动活力","运动功能","core","活动度、节奏与清晰体态并重，以健康动态感支持成人女性的自信表达","角色明确为成人、女性化穿搭呈现清晰，且动作幅度较大、体态有动势或用户偏好运动方向时","轮换轻运动、训练感、都市运动、复古运动、合体与松量、露肤程度、图形节奏及机能质感","不得推断运动能力、健身习惯、体型价值、健康状况、具体项目、职业或队伍身份","S77;S82","adult-feminine"
"S75","style","文艺柔和","自然人文","core","自然含蓄、纹理细腻、层次舒展，以柔和人文气息降低商业造型感","角色明确为成人、女性化穿搭呈现清晰，且可见特征细腻、线条舒展或用户偏好安静自然的视觉语言时","轮换现代文艺、自然文艺、简约人文、轻复古、宽窄比例、纹理粗细与材质柔硬","不得推断艺术职业、智力、教育、性格、乡村生活、民族、阶层或生活方式","S69;S73;S76","adult-feminine"
"S76","style","浪漫柔美","精致柔和","core","流动线条、柔美轮廓与装饰节奏并存，强调成年而非幼态的浪漫氛围","角色明确为成人，且线条柔和、动作舒展或用户明确偏好浪漫柔美时","轮换现代浪漫、简洁浪漫、华丽浪漫、自然浪漫、曲线强弱、垂坠度、层次与装饰密度","不得推断恋爱关系、性格、脆弱、婚恋愿望、性别身份、年龄或亲密场景","S17;S73;S75","adult-feminine;adult-masculine"
"S77","style","甜酷潮流","潮流表达","extended","柔美元素与清晰力量感并置，以年轻化但不幼态的当代节奏表达鲜明个性","角色明确为成人、女性化穿搭呈现清晰，且可见线条兼有柔和与锐利对比或用户偏好甜酷方向时","轮换偏甜、偏酷、运动甜酷、街头甜酷、结构强弱、短长比例、露肤程度与材质软硬","不得幼化、推断性格、年龄、性取向、社会身份、消费能力或性可得性","S74;S82","adult-feminine"
"S78","style","复古摩登","潮流表达","extended","经典轮廓、现代完成度与适度华丽并存，以比例和纹理形成成熟时髦的记忆点","角色明确为成人、女性化穿搭呈现清晰，且面部发型或体态具有经典秩序、用户接受复古方向时","轮换都会复古、简约复古、华丽复古、度假复古、年代感强弱、轮廓曲直、纹理与光泽","不得指定真实年代、历史身份、民族服装、阶层、名媛身份、婚恋状态或完整复刻具体人物","S80;S81","adult-feminine"
"S79","style","度假风情","日常生活","extended","舒展轻盈、流动有呼吸感，以明快比例和成人魅力表达放松的度假气息","角色明确为成人，且动作舒展或用户明确偏好旅行、海岸或度假氛围时","轮换城市度假、海岸风情、自然旅行、精致度假、长短比例、垂坠与贴合、露肤程度及材质轻重；用户选择泳装方向时可充分覆盖泳装变化","不得推断旅行经历、财富、地点、民族、关系状态或生活方式；明确成年人不附加 Skill 级服装尺度限制","S14;S69;S83","adult-feminine;adult-masculine"
"S80","style","轻奢华雅","精致柔和","extended","端庄长线、克制华丽与成人礼仪感并重，重点在从容气场而非昂贵材质或品牌暗示","角色明确为成人，且体态稳定、动作舒展，或用户偏好华雅、礼仪与有气场的精致方向时","轮换现代华雅、礼仪华雅、复古华雅与简约华雅；变化曲直比例、长短节奏、对称关系、垂坠或挺括、光泽及装饰密度","不得推断财富、品牌、地位、珠宝需求、社交身份、消费能力或职业","S13;S72;S81","adult-feminine;adult-masculine"
"S81","style","成熟华丽","成熟魅力","extended","饱满轮廓、精致光泽与从容气场并重，以成年人物的自信承载较高视觉浓度","角色明确为成人，且体态与五官承载力强或用户明确希望成熟、华丽、有气场时","轮换都会华丽、复古华丽、礼仪华丽、舞台化克制度、曲线强弱、材质光泽、露肤与装饰密度","不得推断年龄焦虑、财富、阶层、权力、婚恋状态、性格、职业或性可得性","S78;S80;S83","adult-feminine;adult-masculine"
"S82","style","辣妹潮流","成熟魅力","special","鲜明轮廓、短长对比和潮流张力突出，充分展现成年女性的自信与身体线条","仅用于明确成人角色，且用户明确选择辣妹、热辣、性感或高张力成人写真方向时","在用户所选范围内最大化无袖、吊带、露肩、露背、合体、高开衩、短下装等开放度，以及街头或运动潮流、材质反差与装饰密度的差异","仅限明确成人；不得推断性取向、性可得性、同意、关系状态或职业；不附加 Skill 级服装尺度限制，生成后端的硬性政策独立处理","S77;S83","adult-feminine"
"S83","style","精致性感","成熟魅力","special","精细质感、曲线张力与成熟魅力并重，完整承接用户选择的成人性感表达","仅用于明确成人角色，且用户明确选择性感、魅力、御姐或更强性张力的写真方向时","在用户所选范围内最大化差异，可轮换无袖、吊带、抹胸、露肩、露背、合体、高开衩、短下装、成人泳装或比基尼等方向，并变化材质、结构与装饰","仅限明确成人；不得推断性取向、性可得性、同意、职业或关系状态；不附加 Skill 级服装尺度限制，生成后端的硬性政策独立处理","S81;S82;S84","adult-feminine"
"S84","style","纯欲柔媚","成熟魅力","special","清透柔和与成年性张力并置，以轻盈线条、细腻表情承托和自由变化的露肤形成柔媚写真感","仅用于明确成人角色，且用户明确选择纯欲、柔媚、轻性感或清透成人写真方向时","在用户所选范围内最大化吊带、露肩、抹胸、贴合与流动轮廓、短长比例、开衩、露背程度、清透或柔雾质感、层次和装饰密度的差异","仅限明确成人；不得幼化、扮演未成年或推断纯洁、性格、性经验、性可得性与同意；不附加 Skill 级服装尺度限制，生成后端的硬性政策独立处理","S73;S83","adult-feminine"
